network,netmask,nexthop
1.0.0.0,24,200.219.145.45
1.0.0.0,24,200.219.145.23
1.0.4.0,24,200.219.145.45
1.0.4.0,24,200.219.145.23
1.0.5.0,24,200.219.145.45
1.0.5.0,24,200.219.145.23
1.0.6.0,24,200.219.145.45
1.0.6.0,24,200.219.145.23
1.0.7.0,24,200.219.145.45
1.0.7.0,24,200.219.145.23
1.0.11.0,24,200.219.145.45
1.0.11.0,24,200.219.145.23
1.0.12.0,24,200.219.145.45
1.0.12.0,24,200.219.145.23
1.0.13.0,24,200.219.145.45
1.0.13.0,24,200.219.145.23
1.0.20.0,23,200.219.145.45
1.0.20.0,23,200.219.145.23
1.0.22.0,23,200.219.145.45
1.0.22.0,23,200.219.145.23
1.0.24.0,23,200.219.145.45
1.0.24.0,23,200.219.145.23
1.0.26.0,23,200.219.145.45
1.0.26.0,23,200.219.145.23
1.0.28.0,22,200.219.145.45
1.0.28.0,22,200.219.145.23
1.0.38.0,24,200.219.145.45
1.0.38.0,24,200.219.145.23
1.0.41.0,24,200.219.145.45
1.0.41.0,24,200.219.145.23
1.0.42.0,24,200.219.145.45
1.0.42.0,24,200.219.145.23
1.0.43.0,24,200.219.145.45
1.0.43.0,24,200.219.145.23
1.0.44.0,24,200.219.145.45
1.0.44.0,24,200.219.145.23
1.0.45.0,24,200.219.145.45
1.0.45.0,24,200.219.145.23
1.0.46.0,24,200.219.145.45
1.0.46.0,24,200.219.145.23
1.0.47.0,24,200.219.145.45
1.0.47.0,24,200.219.145.23
1.0.48.0,24,200.219.145.45
1.0.48.0,24,200.219.145.23
1.0.64.0,18,200.219.145.45
1.0.64.0,18,200.219.145.23
1.0.128.0,17,200.219.145.45
1.0.128.0,17,200.219.145.23
1.0.128.0,18,200.219.145.45
1.0.128.0,18,200.219.145.23
1.0.129.0,24,200.219.145.45
1.0.129.0,24,200.219.145.23
1.0.138.0,24,200.219.145.45
1.0.138.0,24,200.219.145.23
1.0.142.0,23,200.219.145.45
1.0.142.0,23,200.219.145.23
1.0.160.0,19,200.219.145.45
1.0.160.0,19,200.219.145.23
1.0.192.0,18,200.219.145.45
1.0.192.0,18,200.219.145.23
1.0.208.0,22,200.219.145.45
1.0.208.0,22,200.219.145.23
1.0.212.0,23,200.219.145.45
1.0.212.0,23,200.219.145.23
1.0.224.0,19,200.219.145.45
1.0.224.0,19,200.219.145.23
1.1.1.0,24,200.219.145.45
1.1.1.0,24,200.219.145.23
1.1.32.0,24,200.219.145.45
1.1.32.0,24,200.219.145.23
1.1.33.0,24,200.219.145.45
1.1.33.0,24,200.219.145.23
1.1.34.0,24,200.219.145.45
1.1.34.0,24,200.219.145.23
1.1.35.0,24,200.219.145.45
1.1.35.0,24,200.219.145.23
1.1.45.0,24,200.219.145.45
1.1.45.0,24,200.219.145.23
1.1.64.0,19,200.219.145.45
1.1.64.0,19,200.219.145.23
1.1.117.0,24,200.219.145.45
1.1.117.0,24,200.219.145.23
1.1.118.0,24,200.219.145.45
1.1.118.0,24,200.219.145.23
1.1.119.0,24,200.219.145.45
1.1.119.0,24,200.219.145.23
1.1.120.0,24,200.219.145.45
1.1.120.0,24,200.219.145.23
1.1.121.0,24,200.219.145.45
1.1.121.0,24,200.219.145.23
1.1.122.0,24,200.219.145.45
1.1.122.0,24,200.219.145.23
1.1.123.0,24,200.219.145.45
1.1.123.0,24,200.219.145.23
1.1.124.0,24,200.219.145.45
1.1.124.0,24,200.219.145.23
1.1.125.0,24,200.219.145.45
1.1.125.0,24,200.219.145.23
1.1.126.0,24,200.219.145.45
1.1.126.0,24,200.219.145.23
1.1.127.0,24,200.219.145.45
1.1.127.0,24,200.219.145.23
1.1.128.0,17,200.219.145.45
1.1.128.0,17,200.219.145.23
1.2.0.0,24,200.219.145.45
1.2.0.0,24,200.219.145.23
1.2.1.0,24,200.219.145.45
1.2.1.0,24,200.219.145.23
1.2.3.0,24,200.219.145.45
1.2.3.0,24,200.219.145.23
1.2.4.0,24,200.219.145.45
1.2.4.0,24,200.219.145.1
1.2.4.0,24,200.219.145.23
1.2.16.0,24,200.219.145.45
1.2.16.0,24,200.219.145.23
1.2.128.0,17,200.219.145.45
1.2.128.0,17,200.219.145.23
1.2.128.0,18,200.219.145.45
1.2.128.0,18,200.219.145.23
1.2.128.0,19,200.219.145.45
1.2.128.0,19,200.219.145.23
1.2.160.0,19,200.219.145.45
1.2.160.0,19,200.219.145.23
1.3.0.0,24,200.219.145.45
1.3.0.0,24,200.219.145.23
1.3.10.0,24,200.219.145.45
1.3.10.0,24,200.219.145.23
1.3.11.0,24,200.219.145.45
1.3.11.0,24,200.219.145.23
1.3.12.0,24,200.219.145.45
1.3.12.0,24,200.219.145.23
1.3.30.0,24,200.219.145.45
1.3.30.0,24,200.219.145.23
1.3.31.0,24,200.219.145.45
1.3.31.0,24,200.219.145.23
1.3.32.0,20,200.219.145.45
1.3.32.0,20,200.219.145.23
1.3.48.0,24,200.219.145.45
1.3.48.0,24,200.219.145.23
1.3.49.0,24,200.219.145.45
1.3.49.0,24,200.219.145.23
1.3.50.0,24,200.219.145.45
1.3.50.0,24,200.219.145.23
1.4.128.0,17,200.219.145.45
1.4.128.0,17,200.219.145.23
1.4.128.0,18,200.219.145.45
1.4.128.0,18,200.219.145.23
1.4.128.0,19,200.219.145.45
1.4.128.0,19,200.219.145.23
1.5.0.0,16,200.219.145.45
1.5.0.0,16,200.219.145.23
1.8.1.0,24,200.219.145.45
1.8.1.0,24,200.219.145.1
1.8.1.0,24,200.219.145.23
1.8.8.0,24,200.219.145.45
1.8.8.0,24,200.219.145.1
1.8.8.0,24,200.219.145.23
1.8.101.0,24,200.219.145.45
1.8.101.0,24,200.219.145.1
1.8.101.0,24,200.219.145.23
1.8.102.0,24,200.219.145.45
1.8.102.0,24,200.219.145.1
1.8.102.0,24,200.219.145.23
1.8.103.0,24,200.219.145.45
1.8.103.0,24,200.219.145.23
1.8.104.0,24,200.219.145.45
1.8.104.0,24,200.219.145.23
1.8.150.0,24,200.219.145.45
1.8.150.0,24,200.219.145.1
1.8.150.0,24,200.219.145.23
1.8.151.0,24,200.219.145.45
1.8.151.0,24,200.219.145.1
1.8.151.0,24,200.219.145.23
1.8.152.0,24,200.219.145.45
1.8.152.0,24,200.219.145.1
1.8.152.0,24,200.219.145.23
1.8.153.0,24,200.219.145.45
1.8.153.0,24,200.219.145.1
1.8.153.0,24,200.219.145.23
1.8.238.0,24,200.219.145.45
1.8.238.0,24,200.219.145.1
1.8.238.0,24,200.219.145.23
1.8.239.0,24,200.219.145.45
1.8.239.0,24,200.219.145.1
1.8.239.0,24,200.219.145.23
1.8.240.0,24,200.219.145.45
1.8.240.0,24,200.219.145.1
1.8.240.0,24,200.219.145.23
1.8.241.0,24,200.219.145.45
1.8.241.0,24,200.219.145.1
1.8.241.0,24,200.219.145.23
1.8.242.0,24,200.219.145.45
1.8.242.0,24,200.219.145.1
1.8.242.0,24,200.219.145.23
1.8.243.0,24,200.219.145.45
1.8.243.0,24,200.219.145.1
1.8.243.0,24,200.219.145.23
1.9.0.0,16,200.219.145.45
1.9.0.0,16,200.219.145.23
1.9.21.0,24,200.219.145.45
1.9.21.0,24,200.219.145.23
1.9.52.0,24,200.219.145.45
1.9.52.0,24,200.219.145.23
1.9.54.0,24,200.219.145.45
1.9.54.0,24,200.219.145.23
1.9.55.0,24,200.219.145.45
1.9.55.0,24,200.219.145.23
1.9.112.0,24,200.219.145.45
1.9.112.0,24,200.219.145.23
1.9.113.0,24,200.219.145.45
1.9.113.0,24,200.219.145.23
1.9.114.0,24,200.219.145.45
